Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
Australian Capital Territory,Australia,-35.4735,149.0124,20-03-2020,6
Australian Capital Territory,Australia,-35.4735,149.0124,19-03-2020,4
Australian Capital Territory,Australia,-35.4735,149.0124,18-03-2020,3
Australian Capital Territory,Australia,-35.4735,149.0124,17-03-2020,2
Australian Capital Territory,Australia,-35.4735,149.0124,16-03-2020,2
Australian Capital Territory,Australia,-35.4735,149.0124,15-03-2020,1
Australian Capital Territory,Australia,-35.4735,149.0124,14-03-2020,1
Australian Capital Territory,Australia,-35.4735,149.0124,13-03-2020,1
Australian Capital Territory,Australia,-35.4735,149.0124,12-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,11-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,10-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,09-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,08-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,07-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,06-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,05-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,04-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,03-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,02-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,01-03-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,29-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,28-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,27-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,26-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,25-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,24-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,23-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,22-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,21-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,20-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,19-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,18-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,17-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,16-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,15-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,14-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,13-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,12-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,11-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,10-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,09-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,08-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,07-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,06-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,05-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,04-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,03-02-2020,0
Australian Capital Territory,Australia,-35.4735,149.0124,02-02-2020,0
